Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster
M3A,North York,Parkwoods,43.7532586,-79.3296565,0
M4A,North York,Victoria Village,43.7258823,-79.3155716,0
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,3
M6A,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,1
M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6678556,-79.5322424,3
M1B,Scarborough,"Malvern, Rouge",43.8066863,-79.1943534,2
M3B,North York,Don Mills,43.7459058,-79.352188,2
M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,2
M6B,North York,Glencairn,43.709577,-79.4450726,3
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.5547244,2
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971,2
M3C,North York,Don Mills,43.7258997,-79.340923,2
M4C,East York,Woodbine Heights,43.6953439,-79.3183887,2
M6C,York,Humewood-Cedarvale,43.6937813,-79.4281914,0
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.5772008,2
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,0
M4E,East Toronto,The Beaches,43.6763574,-79.2930312,3
M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,0
M1G,Scarborough,Woburn,43.7709921,-79.2169174,2
M4G,East York,Leaside,43.7090604,-79.3634517,3
M6G,Downtown Toronto,Christie,43.669542,-79.4225637,2
M1H,Scarborough,Cedarbrae,43.773136,-79.2394761,1
M2H,North York,Hillcrest Village,43.8037622,-79.3634517,1
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,3
M4H,East York,Thorncliffe Park,43.7053689,-79.3493719,3
M6H,West Toronto,"Dufferin, Dovercourt Village",43.6690051,-79.4422593,3
M1J,Scarborough,Scarborough Village,43.7447342,-79.2394761,3
M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,3
M3J,North York,"Northwood Park, York University",43.7679803,-79.4872619,2
M4J,East York,"East Toronto, Broadview North (Old East York)",43.685347,-79.3381065,2
M6J,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497,3
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,3
M2K,North York,Bayview Village,43.7869473,-79.385975,0
M3K,North York,Downsview,43.7374732,-79.4647633,2
M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,3
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914,2
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,3
M2L,North York,"York Mills, Silver Hills",43.7574902,-79.3747141,2
M3L,North York,Downsview,43.7390146,-79.5069436,3
M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.7137562,-79.4900738,2
M9L,North York,Humber Summit,43.7563033,-79.5659633,1
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.2394761,2
M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.4084928,2
M3M,North York,Downsview,43.7284964,-79.4956974,2
M4M,East Toronto,Studio District,43.6595255,-79.340923,3
M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,3
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.4760133,2
M9M,North York,"Humberlea, Emery",43.7247659,-79.5322424,2
M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481,2
M2N,North York,"Willowdale, Willowdale East",43.7701199,-79.4084928,3
M3N,North York,Downsview,43.7616313,-79.5209994,3
M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,2
M5N,Central Toronto,Roselawn,43.7116948,-79.4169356,2
M6N,York,"Runnymede, The Junction North",43.6731853,-79.4872619,1
M9N,York,Weston,43.706876,-79.5181884,2
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.273304,1
M2P,North York,York Mills West,43.7527583,-79.4000493,0
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6969476,-79.4113072,1
M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.4647633,2
M9P,Etobicoke,Westmount,43.696319,-79.5322424,3
M1R,Scarborough,"Wexford, Maryvale",43.7500715,-79.2958491,2
M2R,North York,"Willowdale, Willowdale West",43.7827364,-79.4422593,0
M4R,Central Toronto,"North Toronto West,  Lawrence Park",43.7153834,-79.4056784,3
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784,3
M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,3
M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.615819,2
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.5547244,3
M1S,Scarborough,Agincourt,43.7942003,-79.2620294,2
M4S,Central Toronto,Davisville,43.7043244,-79.3887901,3
M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493,3
M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,3
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,1
M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599,2
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,3
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,3
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6864123,-79.4000493,2
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,2
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.5013207,2
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7394164,-79.5884369,3
M1W,Scarborough,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,3
M4W,Downtown Toronto,Rosedale,43.6795626,-79.3775294,0
M8W,Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841,2
M9W,Etobicoke,"Northwest, West Humber - Clairville",43.7067483,-79.5940544,2
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753,3
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,3
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436,2
M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599,3
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558,1
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.4985091,0
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.5209994,2
